source,target,weight,value
4cb7f5d9-aedc-4b2d-b506-a81e3c931045,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.059322033898305086,14.0
4547900c-1f48-4718-9001-3b35cc928cd2,1695c115-bf3f-4014-9966-2b0c50179193,0.16216216216216217,72.0
0a460f25-a01d-44aa-a000-f02b66a2fa90,1695c115-bf3f-4014-9966-2b0c50179193,0.0736196319018405,12.0
4e36331f-8711-493a-870b-16cc283394d3,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.0875,7.0
ab0dc4f5-9264-439c-819a-2a4b0f57b609,1695c115-bf3f-4014-9966-2b0c50179193,0.17045454545454544,15.0
749402ed-f308-49f9-bf72-01a3b98f0e2f,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.3130434782608696,36.0
3a58d9e0-fab3-4ac1-9f8a-157f5f428997,83d91898-7763-47d7-b03b-b92132375c47,0.05029411764705882,171.0
d6d496b8-1fdd-40b6-85d9-ae8c1e140ba0,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.21649484536082475,21.0
8d59a15b-9531-4e9b-9cee-35c072197832,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.6,6.0
e30e8520-72a0-4a60-bee3-515b2a0cfa30,cc197bad-dc9c-440d-a5b5-d52ba2e14234,0.06441717791411043,21.0
3a9c9751-5287-4cec-8407-8096af51ff13,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.1,6.0
acf39956-d2b5-4caa-a9f8-7f0c67325e8b,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.08759757155247182,101.0
905c4ea4-7c8e-4c7b-b64d-c5a04596d4c0,8bfac288-ccc5-448d-9573-c33ea2aa5c30,0.05526315789473684,42.0
905c4ea4-7c8e-4c7b-b64d-c5a04596d4c0,83d91898-7763-47d7-b03b-b92132375c47,0.07894736842105263,60.0
905c4ea4-7c8e-4c7b-b64d-c5a04596d4c0,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.075,57.0
86cc3d2c-5081-41a6-819b-a496e93f2bed,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.06666666666666667,12.0
0463fe88-d528-4be6-b05f-23e9582d74e3,83d91898-7763-47d7-b03b-b92132375c47,0.1875,9.0
c066ab45-c3da-4ac4-8739-454713170e65,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.1488095238095238,75.0
7aa6b113-2c5c-46c2-9239-9f378b1cb936,83d91898-7763-47d7-b03b-b92132375c47,0.05747126436781609,5.0
0ec866ab-5d80-4c61-9ec0-0e1ba829e4d7,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.2,7.0
390285a7-9761-4de9-a78f-7650cbcdbf3a,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.05399568034557235,25.0
886e5c8f-3ca4-401d-8af3-b4b5eb46a7bb,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.06188118811881188,25.0
886e5c8f-3ca4-401d-8af3-b4b5eb46a7bb,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.0891089108910891,36.0
36be047b-c4f2-443f-90b8-0453d6eaa339,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.12844036697247707,14.0
36be047b-c4f2-443f-90b8-0453d6eaa339,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,0.30275229357798167,33.0
86aa555e-3035-4493-a28f-1f1fac9f0473,83d91898-7763-47d7-b03b-b92132375c47,0.0873015873015873,22.0
465964f9-be56-48d0-bb83-29f7f3d182ec,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.052941176470588235,18.0
7aeed70b-8768-4e19-9c5a-93dcba2f58e1,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,0.07575757575757576,10.0
97b9ef09-1902-433a-a5c8-7439eb5fc3a3,1695c115-bf3f-4014-9966-2b0c50179193,0.050397877984084884,19.0
c4b951c5-5b51-400d-95a1-2c63aa353655,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.059693318729463304,218.0
2ba53199-b6b4-4902-ad43-ee8b568894d5,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.08737864077669903,27.0
1683455d-6f0b-442a-9fcf-8830546872cb,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.3409090909090909,120.0
130ae2d3-849a-4091-9a28-5077ff569634,83d91898-7763-47d7-b03b-b92132375c47,0.09195402298850575,16.0
7fcf8aad-2f12-4118-94d3-38ebad0a31d0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,0.09090909090909091,2.0
722992a2-a898-48d0-ae32-57dbe9357ae5,1695c115-bf3f-4014-9966-2b0c50179193,0.06779661016949153,88.0
a2ade35b-e526-4e54-8ca1-65401d268baa,a74b1b7f-71a5-4011-9441-d0b5e4122711,0.28870292887029286,69.0
da2956b4-748e-4329-abb6-8d1687059fdd,cc197bad-dc9c-440d-a5b5-d52ba2e14234,0.08333333333333333,1.0
4e52705e-249f-483d-84ae-de9e3ebbf7f5,83d91898-7763-47d7-b03b-b92132375c47,0.11842105263157894,18.0
f3b9accd-6093-4d19-8399-bebb9789ebfc,cc197bad-dc9c-440d-a5b5-d52ba2e14234,0.32142857142857145,9.0
